code,region,country,year,month,imports_usd
446,Other countries,Macau,1995,Jan,0
807,Other countries,Macedonia (FYR),1995,Jan,0
450,Other countries,Madagascar,1995,Jan,0
454,Other countries,Malawi,1995,Jan,0
458,Other countries,Malaysia,1995,Jan,0
462,Other countries,Maldives,1995,Jan,0
466,Other countries,Mali,1995,Jan,0
584,Other countries,Marshall Islands,1995,Jan,0
478,Other countries,Mauritania,1995,Jan,0
480,Other countries,Mauritius,1995,Jan,0
484,Other countries,Mexico,1995,Jan,0
492,Other countries,Monaco,1995,Jan,0
496,Other countries,Mongolia,1995,Jan,0
499,Other countries,Montenegro,1995,Jan,0
504,Other countries,Morocco,1995,Jan,0
508,Other countries,Mozambique,1995,Jan,0
104,Other countries,Myanmar,1995,Jan,0
516,Other countries,Namibia,1995,Jan,0
520,Other countries,Nauru,1995,Jan,0
524,Other countries,Nepal,1995,Jan,0
530,Other countries,Netherlands Antilles,1995,Jan,0
554,Other countries,New Zealand,1995,Jan,0
558,Other countries,Nicaragua,1995,Jan,0
562,Other countries,Niger,1995,Jan,0
566,Other countries,Nigeria,1995,Jan,0
570,Other countries,Niue,1995,Jan,0
578,Other countries,Norway,1995,Jan,0
512,Other countries,Oman,1995,Jan,1.481
586,Other countries,Pakistan,1995,Jan,0
591,Other countries,Panama,1995,Jan,0
600,Other countries,Paraguay,1995,Jan,0
604,Other countries,Peru,1995,Jan,0
608,Other countries,Philippines,1995,Jan,0
630,Other countries,Puerto Rico,1995,Jan,0
634,Other countries,Qatar,1995,Jan,0
646,Other countries,Rwanda,1995,Jan,0
654,Other countries,Saint Helena,1995,Jan,0
674,Other countries,San Marino,1995,Jan,0
682,Other countries,Saudi Arabia,1995,Jan,0
686,Other countries,Senegal,1995,Jan,0
688,Other countries,Serbia,1995,Jan,0
891,Other countries,Serbia and  Montenegro,1995,Jan,0
690,Other countries,Seychelles,1995,Jan,0
694,Other countries,Sierra Leone,1995,Jan,0
702,Other countries,Singapore,1995,Jan,1037.764
706,Other countries,Somalia,1995,Jan,0
710,Other countries,South Africa,1995,Jan,0
144,Other countries,Sri Lanka,1995,Jan,0
729,Other countries,Sudan,1995,Jan,0
740,Other countries,Suriname,1995,Jan,0
748,Other countries,Swaziland,1995,Jan,0
756,Other countries,Switzerland,1995,Jan,5.9068000000000005
760,Other countries,Syrian,1995,Jan,0
158,Other countries,"Taiwan, Province of China",1995,Jan,0
834,Other countries,Tanzania,1995,Jan,0
764,Other countries,Thailand,1995,Jan,0
626,Other countries,Timor-LESTE,1995,Jan,0
768,Other countries,Togo,1995,Jan,0
776,Other countries,Tonga,1995,Jan,0
780,Other countries,Trinidad and Tobago,1995,Jan,0
788,Other countries,Tunisia,1995,Jan,0
792,Other countries,Turkey,1995,Jan,3507.6704000000004
796,Other countries,Turks and Caicos Islands,1995,Jan,0
798,Other countries,Tuvalu,1995,Jan,0
800,Other countries,Uganda,1995,Jan,0
784,Other countries,United Arab Emirates,1995,Jan,0
840,Other countries,United States,1995,Jan,1902.88
858,Other countries,Uruguay,1995,Jan,0
862,Other countries,Venezuela,1995,Jan,0
704,Other countries,Viet Nam,1995,Jan,0
92,Other countries,"Virgin Islands, British",1995,Jan,0
850,Other countries,"Virgin Islands, U.S",1995,Jan,0
732,Other countries,Western Sahara,1995,Jan,0
887,Other countries,Yemen,1995,Jan,0
894,Other countries,Zambia,1995,Jan,0
716,Other countries,Zimbabwe,1995,Jan,0
40,EU countries,Austria,1995,Feb,160.998
56,EU countries,Belgium,1995,Feb,58.227
100,EU countries,Bulgaria,1995,Feb,779.3059999999999
191,EU countries,Croatia,1995,Feb,0
196,EU countries,Cyprus,1995,Feb,0
203,EU countries,Czech Republic,1995,Feb,0
208,EU countries,Denmark,1995,Feb,4027.86425
233,EU countries,Estonia,1995,Feb,0
246,EU countries,Finland,1995,Feb,0
250,EU countries,France,1995,Feb,0
276,EU countries,Germany,1995,Feb,96.761
300,EU countries,Greece,1995,Feb,417.16819999999996
348,EU countries,Hungary,1995,Feb,0
372,EU countries,Ireland,1995,Feb,0
380,EU countries,Italy,1995,Feb,160
428,EU countries,Latvia,1995,Feb,0.573
440,EU countries,Lithuania,1995,Feb,3.631
442,EU countries,Luxembourg,1995,Feb,0
470,EU countries,Malta,1995,Feb,0
528,EU countries,Netherlands,1995,Feb,110.82
616,EU countries,Poland,1995,Feb,0
620,EU countries,Portugal,1995,Feb,0
642,EU countries,Romania,1995,Feb,747.462
703,EU countries,Slovakia,1995,Feb,35.517
705,EU countries,Slovenia,1995,Feb,72.613
724,EU countries,Spain,1995,Feb,5.191
752,EU countries,Sweden,1995,Feb,0
826,EU countries,United Kingdom,1995,Feb,486.5
51,CIS counrties,Armenia,1995,Feb,73.58099999999999
31,CIS counrties,Azerbaijan,1995,Feb,1406.953
112,CIS counrties,Belarus,1995,Feb,90.34100000000001
398,CIS counrties,Kazakhstan,1995,Feb,0
417,CIS counrties,Kyrgyzstan,1995,Feb,0
498,CIS counrties,Moldova,1995,Feb,20.582
643,CIS counrties,Russia,1995,Feb,645.6800000000001
762,CIS counrties,Tajikistan,1995,Feb,0
795,CIS counrties,Turkmenistan,1995,Feb,0
804,CIS counrties,Ukraine,1995,Feb,472.611
860,CIS counrties,Uzbekistan,1995,Feb,102.073
4,Other countries,Afghanistan,1995,Feb,0
8,Other countries,Albania,1995,Feb,0
12,Other countries,Algeria,1995,Feb,0
20,Other countries,Andorra,1995,Feb,0
24,Other countries,Angola,1995,Feb,0
660,Other countries,Anguilla,1995,Feb,0
28,Other countries,Antigua and Barbuda,1995,Feb,0
32,Other countries,Argentina,1995,Feb,0
36,Other countries,Australia,1995,Feb,0
44,Other countries,Bahamas,1995,Feb,0
48,Other countries,Bahrain,1995,Feb,0
50,Other countries,Bangladesh,1995,Feb,0
52,Other countries,Barbados,1995,Feb,0
84,Other countries,Belize,1995,Feb,0
204,Other countries,Benin,1995,Feb,0
60,Other countries,Bermuda,1995,Feb,0
64,Other countries,Bhutan,1995,Feb,0
70,Other countries,Bosnia and Herzegovina,1995,Feb,0
72,Other countries,Botswana,1995,Feb,0
76,Other countries,Brazil,1995,Feb,0
86,Other countries,British Indian Ocean Territory,1995,Feb,0
96,Other countries,Brunei Darussalam,1995,Feb,0
854,Other countries,Burkina Faso,1995,Feb,0
108,Other countries,Burundi,1995,Feb,0
116,Other countries,Cambodia,1995,Feb,0
120,Other countries,Cameroon,1995,Feb,0
124,Other countries,Canada,1995,Feb,0
132,Other countries,Cape Verde,1995,Feb,0
136,Other countries,Cayman Islands,1995,Feb,0
140,Other countries,Central African Republic,1995,Feb,0
152,Other countries,Chile,1995,Feb,0
156,Other countries,China,1995,Feb,0
162,Other countries,Christmas Island,1995,Feb,0
170,Other countries,Colombia,1995,Feb,0
178,Other countries,Congo,1995,Feb,0
180,Other countries,Congo DR,1995,Feb,0
188,Other countries,Costa Rica,1995,Feb,0
384,Other countries,Cote d'ivoire,1995,Feb,0
192,Other countries,Cuba,1995,Feb,0
262,Other countries,Djibouti,1995,Feb,0
212,Other countries,Dominica,1995,Feb,0
214,Other countries,Dominican Republic,1995,Feb,0
218,Other countries,Ecuador,1995,Feb,0
818,Other countries,Egypt,1995,Feb,0
222,Other countries,EL Salvador,1995,Feb,0
226,Other countries,Equatorial Guinea,1995,Feb,0
231,Other countries,Ethiopia,1995,Feb,0
238,Other countries,Falkland Islands (Malvinas),1995,Feb,0
234,Other countries,Faroe Islands,1995,Feb,0
260,Other countries,Franch Southern Territories,1995,Feb,0
254,Other countries,French Guiana,1995,Feb,0
258,Other countries,French Polynesia,1995,Feb,0
266,Other countries,Gabon,1995,Feb,0
270,Other countries,Gambia,1995,Feb,0
288,Other countries,Ghana,1995,Feb,0
292,Other countries,Gibraltar,1995,Feb,0
308,Other countries,Grenada,1995,Feb,0
320,Other countries,Guatemala,1995,Feb,0
324,Other countries,Guinea,1995,Feb,0
328,Other countries,Guyana,1995,Feb,0
332,Other countries,Haiti,1995,Feb,0
336,Other countries,Holy See (Vatican City State),1995,Feb,0
340,Other countries,Honduras,1995,Feb,0
344,Other countries,"Hong Kong, SAR of China",1995,Feb,0
352,Other countries,Iceland,1995,Feb,0
356,Other countries,India,1995,Feb,0
360,Other countries,Indonesia,1995,Feb,0
364,Other countries,Iran,1995,Feb,19.791
368,Other countries,Iraq,1995,Feb,0
376,Other countries,Israel,1995,Feb,1.53
388,Other countries,Jamaica,1995,Feb,0
392,Other countries,Japan,1995,Feb,0
400,Other countries,Jordan,1995,Feb,0
404,Other countries,Kenya,1995,Feb,0
410,Other countries,"Korea, Republic of",1995,Feb,0
408,Other countries,"Korea, Democratic People's Republic of",1995,Feb,0
414,Other countries,Kuwait,1995,Feb,0
418,Other countries,Lao,1995,Feb,0
422,Other countries,Lebanon,1995,Feb,32.43
430,Other countries,Liberia,1995,Feb,0
434,Other countries,Libya,1995,Feb,0
438,Other countries,Liechtenstein,1995,Feb,0
446,Other countries,Macau,1995,Feb,0
807,Other countries,Macedonia (FYR),1995,Feb,0
450,Other countries,Madagascar,1995,Feb,0
454,Other countries,Malawi,1995,Feb,0
458,Other countries,Malaysia,1995,Feb,0
462,Other countries,Maldives,1995,Feb,0
466,Other countries,Mali,1995,Feb,0
584,Other countries,Marshall Islands,1995,Feb,0
478,Other countries,Mauritania,1995,Feb,0
480,Other countries,Mauritius,1995,Feb,0
484,Other countries,Mexico,1995,Feb,0
492,Other countries,Monaco,1995,Feb,0
496,Other countries,Mongolia,1995,Feb,0
499,Other countries,Montenegro,1995,Feb,0
504,Other countries,Morocco,1995,Feb,0
508,Other countries,Mozambique,1995,Feb,0
104,Other countries,Myanmar,1995,Feb,0
516,Other countries,Namibia,1995,Feb,0
520,Other countries,Nauru,1995,Feb,0
524,Other countries,Nepal,1995,Feb,0
530,Other countries,Netherlands Antilles,1995,Feb,0
554,Other countries,New Zealand,1995,Feb,0
558,Other countries,Nicaragua,1995,Feb,0
562,Other countries,Niger,1995,Feb,0
566,Other countries,Nigeria,1995,Feb,0
570,Other countries,Niue,1995,Feb,0
578,Other countries,Norway,1995,Feb,0
512,Other countries,Oman,1995,Feb,0
586,Other countries,Pakistan,1995,Feb,0
591,Other countries,Panama,1995,Feb,0
600,Other countries,Paraguay,1995,Feb,0
604,Other countries,Peru,1995,Feb,0
608,Other countries,Philippines,1995,Feb,0
630,Other countries,Puerto Rico,1995,Feb,0
634,Other countries,Qatar,1995,Feb,0
646,Other countries,Rwanda,1995,Feb,0
654,Other countries,Saint Helena,1995,Feb,0
674,Other countries,San Marino,1995,Feb,0
682,Other countries,Saudi Arabia,1995,Feb,0
686,Other countries,Senegal,1995,Feb,0
688,Other countries,Serbia,1995,Feb,0
891,Other countries,Serbia and  Montenegro,1995,Feb,0
690,Other countries,Seychelles,1995,Feb,0
694,Other countries,Sierra Leone,1995,Feb,0
702,Other countries,Singapore,1995,Feb,0
706,Other countries,Somalia,1995,Feb,0
710,Other countries,South Africa,1995,Feb,0
144,Other countries,Sri Lanka,1995,Feb,0
729,Other countries,Sudan,1995,Feb,0
740,Other countries,Suriname,1995,Feb,0
748,Other countries,Swaziland,1995,Feb,0
756,Other countries,Switzerland,1995,Feb,1580.6349999999998
760,Other countries,Syrian,1995,Feb,0
158,Other countries,"Taiwan, Province of China",1995,Feb,0
834,Other countries,Tanzania,1995,Feb,0
764,Other countries,Thailand,1995,Feb,0
626,Other countries,Timor-LESTE,1995,Feb,0
768,Other countries,Togo,1995,Feb,0
776,Other countries,Tonga,1995,Feb,0
780,Other countries,Trinidad and Tobago,1995,Feb,0
788,Other countries,Tunisia,1995,Feb,0
792,Other countries,Turkey,1995,Feb,1886.4657500000005
796,Other countries,Turks and Caicos Islands,1995,Feb,0
798,Other countries,Tuvalu,1995,Feb,0
800,Other countries,Uganda,1995,Feb,0
784,Other countries,United Arab Emirates,1995,Feb,0
840,Other countries,United States,1995,Feb,2922.4479999999994
858,Other countries,Uruguay,1995,Feb,0
862,Other countries,Venezuela,1995,Feb,0
704,Other countries,Viet Nam,1995,Feb,0
92,Other countries,"Virgin Islands, British",1995,Feb,0
850,Other countries,"Virgin Islands, U.S",1995,Feb,0
732,Other countries,Western Sahara,1995,Feb,0
887,Other countries,Yemen,1995,Feb,0
894,Other countries,Zambia,1995,Feb,0
716,Other countries,Zimbabwe,1995,Feb,0
40,EU countries,Austria,1995,Mar,29.533999999999995
56,EU countries,Belgium,1995,Mar,32.364999999999995
100,EU countries,Bulgaria,1995,Mar,63.394999999999996
191,EU countries,Croatia,1995,Mar,0
196,EU countries,Cyprus,1995,Mar,0
203,EU countries,Czech Republic,1995,Mar,29.805999999999997
208,EU countries,Denmark,1995,Mar,4811.16
233,EU countries,Estonia,1995,Mar,0
246,EU countries,Finland,1995,Mar,0
250,EU countries,France,1995,Mar,710.011
276,EU countries,Germany,1995,Mar,223.14600000000002
300,EU countries,Greece,1995,Mar,0
348,EU countries,Hungary,1995,Mar,81.939
372,EU countries,Ireland,1995,Mar,0
380,EU countries,Italy,1995,Mar,601.244
428,EU countries,Latvia,1995,Mar,15.918
440,EU countries,Lithuania,1995,Mar,0
442,EU countries,Luxembourg,1995,Mar,0.75
470,EU countries,Malta,1995,Mar,0
528,EU countries,Netherlands,1995,Mar,92.8005
616,EU countries,Poland,1995,Mar,40.826
620,EU countries,Portugal,1995,Mar,0
642,EU countries,Romania,1995,Mar,1452.072
703,EU countries,Slovakia,1995,Mar,0
705,EU countries,Slovenia,1995,Mar,18.568
724,EU countries,Spain,1995,Mar,0
752,EU countries,Sweden,1995,Mar,0
826,EU countries,United Kingdom,1995,Mar,519.6025
51,CIS counrties,Armenia,1995,Mar,60.63399999999999
31,CIS counrties,Azerbaijan,1995,Mar,5075.013999999999
112,CIS counrties,Belarus,1995,Mar,40.271
398,CIS counrties,Kazakhstan,1995,Mar,0
417,CIS counrties,Kyrgyzstan,1995,Mar,0
498,CIS counrties,Moldova,1995,Mar,29.599
643,CIS counrties,Russia,1995,Mar,4591.39275
762,CIS counrties,Tajikistan,1995,Mar,0
795,CIS counrties,Turkmenistan,1995,Mar,33688
804,CIS counrties,Ukraine,1995,Mar,347.599
860,CIS counrties,Uzbekistan,1995,Mar,0
4,Other countries,Afghanistan,1995,Mar,0
8,Other countries,Albania,1995,Mar,0
12,Other countries,Algeria,1995,Mar,0
20,Other countries,Andorra,1995,Mar,0
24,Other countries,Angola,1995,Mar,0
660,Other countries,Anguilla,1995,Mar,0
28,Other countries,Antigua and Barbuda,1995,Mar,0
32,Other countries,Argentina,1995,Mar,0
36,Other countries,Australia,1995,Mar,0
44,Other countries,Bahamas,1995,Mar,0
48,Other countries,Bahrain,1995,Mar,0
50,Other countries,Bangladesh,1995,Mar,0
52,Other countries,Barbados,1995,Mar,0
84,Other countries,Belize,1995,Mar,0
204,Other countries,Benin,1995,Mar,0
60,Other countries,Bermuda,1995,Mar,0
64,Other countries,Bhutan,1995,Mar,0
70,Other countries,Bosnia and Herzegovina,1995,Mar,0
72,Other countries,Botswana,1995,Mar,0
76,Other countries,Brazil,1995,Mar,0
86,Other countries,British Indian Ocean Territory,1995,Mar,0
96,Other countries,Brunei Darussalam,1995,Mar,0
854,Other countries,Burkina Faso,1995,Mar,0
108,Other countries,Burundi,1995,Mar,0
116,Other countries,Cambodia,1995,Mar,0
120,Other countries,Cameroon,1995,Mar,0
124,Other countries,Canada,1995,Mar,0
132,Other countries,Cape Verde,1995,Mar,0
136,Other countries,Cayman Islands,1995,Mar,0
140,Other countries,Central African Republic,1995,Mar,0
152,Other countries,Chile,1995,Mar,0
156,Other countries,China,1995,Mar,1.914
162,Other countries,Christmas Island,1995,Mar,0
170,Other countries,Colombia,1995,Mar,0
178,Other countries,Congo,1995,Mar,0
180,Other countries,Congo DR,1995,Mar,0
188,Other countries,Costa Rica,1995,Mar,0
384,Other countries,Cote d'ivoire,1995,Mar,0
192,Other countries,Cuba,1995,Mar,0
262,Other countries,Djibouti,1995,Mar,0
212,Other countries,Dominica,1995,Mar,0
214,Other countries,Dominican Republic,1995,Mar,0
218,Other countries,Ecuador,1995,Mar,0
818,Other countries,Egypt,1995,Mar,0
222,Other countries,EL Salvador,1995,Mar,0
226,Other countries,Equatorial Guinea,1995,Mar,0
231,Other countries,Ethiopia,1995,Mar,0
238,Other countries,Falkland Islands (Malvinas),1995,Mar,0
234,Other countries,Faroe Islands,1995,Mar,0
260,Other countries,Franch Southern Territories,1995,Mar,0
254,Other countries,French Guiana,1995,Mar,0
258,Other countries,French Polynesia,1995,Mar,0
266,Other countries,Gabon,1995,Mar,0
270,Other countries,Gambia,1995,Mar,0
288,Other countries,Ghana,1995,Mar,0
292,Other countries,Gibraltar,1995,Mar,0
308,Other countries,Grenada,1995,Mar,0
320,Other countries,Guatemala,1995,Mar,0
324,Other countries,Guinea,1995,Mar,0
328,Other countries,Guyana,1995,Mar,0
332,Other countries,Haiti,1995,Mar,0
336,Other countries,Holy See (Vatican City State),1995,Mar,0
340,Other countries,Honduras,1995,Mar,0
344,Other countries,"Hong Kong, SAR of China",1995,Mar,0
352,Other countries,Iceland,1995,Mar,0
356,Other countries,India,1995,Mar,0
360,Other countries,Indonesia,1995,Mar,0
364,Other countries,Iran,1995,Mar,159.06000000000003
368,Other countries,Iraq,1995,Mar,0
376,Other countries,Israel,1995,Mar,814.2270000000001
388,Other countries,Jamaica,1995,Mar,0
392,Other countries,Japan,1995,Mar,1.5
400,Other countries,Jordan,1995,Mar,0
404,Other countries,Kenya,1995,Mar,0
410,Other countries,"Korea, Republic of",1995,Mar,0
408,Other countries,"Korea, Democratic People's Republic of",1995,Mar,0
414,Other countries,Kuwait,1995,Mar,0
418,Other countries,Lao,1995,Mar,0
422,Other countries,Lebanon,1995,Mar,0
430,Other countries,Liberia,1995,Mar,0
434,Other countries,Libya,1995,Mar,0
438,Other countries,Liechtenstein,1995,Mar,0
446,Other countries,Macau,1995,Mar,0
807,Other countries,Macedonia (FYR),1995,Mar,0
450,Other countries,Madagascar,1995,Mar,0
454,Other countries,Malawi,1995,Mar,0
458,Other countries,Malaysia,1995,Mar,0
462,Other countries,Maldives,1995,Mar,0
466,Other countries,Mali,1995,Mar,0
584,Other countries,Marshall Islands,1995,Mar,0
478,Other countries,Mauritania,1995,Mar,0
480,Other countries,Mauritius,1995,Mar,0
484,Other countries,Mexico,1995,Mar,0
492,Other countries,Monaco,1995,Mar,0
496,Other countries,Mongolia,1995,Mar,0
499,Other countries,Montenegro,1995,Mar,0
504,Other countries,Morocco,1995,Mar,0
508,Other countries,Mozambique,1995,Mar,0
104,Other countries,Myanmar,1995,Mar,0
516,Other countries,Namibia,1995,Mar,0
520,Other countries,Nauru,1995,Mar,0
524,Other countries,Nepal,1995,Mar,0
530,Other countries,Netherlands Antilles,1995,Mar,0
554,Other countries,New Zealand,1995,Mar,0
558,Other countries,Nicaragua,1995,Mar,0
562,Other countries,Niger,1995,Mar,0
566,Other countries,Nigeria,1995,Mar,0
570,Other countries,Niue,1995,Mar,0
578,Other countries,Norway,1995,Mar,0
512,Other countries,Oman,1995,Mar,0
586,Other countries,Pakistan,1995,Mar,0
591,Other countries,Panama,1995,Mar,0
600,Other countries,Paraguay,1995,Mar,0
604,Other countries,Peru,1995,Mar,0
608,Other countries,Philippines,1995,Mar,0
630,Other countries,Puerto Rico,1995,Mar,0
634,Other countries,Qatar,1995,Mar,0
646,Other countries,Rwanda,1995,Mar,0
654,Other countries,Saint Helena,1995,Mar,0
674,Other countries,San Marino,1995,Mar,0
682,Other countries,Saudi Arabia,1995,Mar,0
686,Other countries,Senegal,1995,Mar,0
688,Other countries,Serbia,1995,Mar,0
891,Other countries,Serbia and  Montenegro,1995,Mar,0
690,Other countries,Seychelles,1995,Mar,0
694,Other countries,Sierra Leone,1995,Mar,0
702,Other countries,Singapore,1995,Mar,0
706,Other countries,Somalia,1995,Mar,0
710,Other countries,South Africa,1995,Mar,0
144,Other countries,Sri Lanka,1995,Mar,0
729,Other countries,Sudan,1995,Mar,0
740,Other countries,Suriname,1995,Mar,0
748,Other countries,Swaziland,1995,Mar,0
756,Other countries,Switzerland,1995,Mar,9.776
760,Other countries,Syrian,1995,Mar,0
158,Other countries,"Taiwan, Province of China",1995,Mar,0
834,Other countries,Tanzania,1995,Mar,0
764,Other countries,Thailand,1995,Mar,0
626,Other countries,Timor-LESTE,1995,Mar,0
768,Other countries,Togo,1995,Mar,0
776,Other countries,Tonga,1995,Mar,0
780,Other countries,Trinidad and Tobago,1995,Mar,0
788,Other countries,Tunisia,1995,Mar,0
792,Other countries,Turkey,1995,Mar,5351.2074
796,Other countries,Turks and Caicos Islands,1995,Mar,0
798,Other countries,Tuvalu,1995,Mar,0
800,Other countries,Uganda,1995,Mar,0
784,Other countries,United Arab Emirates,1995,Mar,257.363
840,Other countries,United States,1995,Mar,6010.59033333
858,Other countries,Uruguay,1995,Mar,0
862,Other countries,Venezuela,1995,Mar,0
704,Other countries,Viet Nam,1995,Mar,0
92,Other countries,"Virgin Islands, British",1995,Mar,0
850,Other countries,"Virgin Islands, U.S",1995,Mar,0
732,Other countries,Western Sahara,1995,Mar,0
887,Other countries,Yemen,1995,Mar,0
894,Other countries,Zambia,1995,Mar,0
716,Other countries,Zimbabwe,1995,Mar,0
40,EU countries,Austria,1995,Apr,108.891
56,EU countries,Belgium,1995,Apr,1653.6826
100,EU countries,Bulgaria,1995,Apr,1507.9758333300001
191,EU countries,Croatia,1995,Apr,0
196,EU countries,Cyprus,1995,Apr,37.291
203,EU countries,Czech Republic,1995,Apr,15.7
208,EU countries,Denmark,1995,Apr,0
233,EU countries,Estonia,1995,Apr,0
246,EU countries,Finland,1995,Apr,1.775
250,EU countries,France,1995,Apr,342.747
276,EU countries,Germany,1995,Apr,202.04519999999997
300,EU countries,Greece,1995,Apr,250.177
348,EU countries,Hungary,1995,Apr,5.117
372,EU countries,Ireland,1995,Apr,2.449
380,EU countries,Italy,1995,Apr,46.689
428,EU countries,Latvia,1995,Apr,0
440,EU countries,Lithuania,1995,Apr,0
442,EU countries,Luxembourg,1995,Apr,0
470,EU countries,Malta,1995,Apr,0
528,EU countries,Netherlands,1995,Apr,233.26600000000002
616,EU countries,Poland,1995,Apr,3.029
